post,subject
论文需要研究多种因素对人民币结算量的影响目前只有6组年度数据请问用什么分析方法比较好？,统计
怎么用matlab做投影寻踪模型,统计
请问怎样在stata中求平均值?输入命令是什么?,统计
"把变量class根据不同条件分成了三种虚拟变量，分别进行了回归，自变量Y也是虚拟变量，为什么其中两类的自变量class的系数符号相反，数值相同，T值也很接近呢？谢谢解答！


",统计
论文里面看到“采取累积分布函数方法，对数据进行标准化处理“，这句话是什么意思？什么是累计分布函数法对数据进行标准化处理啊？？感激不尽求大神解答,统计
CGSS数据现在有比2013更新的吗？,统计
"根据矩条件估计出模型的参数，那么用R语言该如何进行预测呢？
我打算使用predict(object,...)进行预测，但现在问题是object我没法直接写我要预测的模型。因为我是使用矩条件估计出的参数，并不是用直接用gmm对要预测的模型直接估计",统计
P2P理财大家应该都知道吧，这几年还是很火热的，不过平台也是换了一批又一批，不过我最近听说有一个平台已经好几年了但是依然拥有很多用户，就是汇盈金服，我还挺好奇的汇盈金服有哪些优势呢？为什么能如此经久不衰呢？,统计
请问各路大神，用stata做截面数据的多元线性回归分析，能不能直接用HAC消除异方差？,统计
"将将入门的小白一枚...急着写论文但是又不太弄得清各种统计模型的选择TAT

请问OLS和PLS的区别主要有哪些呢？

有什么情况是只能用PLS不能用OLS的，或者只能用OLS不能用PLS的吗？

如果样本量比较小，是不是优先选择PLS呢？",统计
我的问卷是考察消费者七个维度的评价，每个维度三到四个问题，之前对数据做了主成分分析，能有效提取出七个,统计
已知一些企业名称，如何批量匹配他们的工商信息？有哪个大数据企业能做？,统计
Mplus安装包是不是分为64位和32位吗？如果我的电脑是64位，那么Mplus的32位的安装包就不适合。,统计
用非期望产出DEA测出的能源效率值高于1，应该用STATA的哪个模型分析环境规制对能源效率的影响因素,统计
"求助DID试点地区进入政策时间不同该如何处理
比如2010年涉及4个城市
2014年2个
2015年6个
2016年6个
2017年4个
这种可以用DID吗如果可以该如何设置对照组实验组事件年又该如何选呢",统计
"小白求助，如何用SAS画折线图，我有一个四百多行的数据，有三个变量：PK1，PK2,PK5,想画三个时期的变化折线图在一个图上，该怎么弄呢？",统计
请问，预测问卷和正式问卷的被试可以重复吗？,统计
"stata软件窗口问题
软件学习新手，新手想请教一下user窗口的三个分组下显示的都是none是什么问题呢？要怎么解决
",统计
"一道概率题请教
从1到80中随机抽取20个数字，按从小到大顺序依次排列，按位分成1-6,7-12,13-20三组，各组分别相加求得3个和数，和数的尾数再相加，得到一个0-27中的数字，求0-27各个数字出现的频次或概率。",统计
为什么常数项是所有个体效应Ui的平均值，固定效应模型，组内估计量的离差形式不是已经吧Ui消掉了吗？,统计
"想要在SAS中实现
1：按照顾客名字对数据集进行分组；
2：每个顾客有多笔交易，每笔交易有一条记录包含变量A，B和C，我希望将每个顾客的每条记录的A值与这个顾客所有B值做比较，加和所有B值比这个A值小的情况下的C值，求问该怎么做呢",统计
"MATLAB中，怎么以列为单位统计出现概率与次数呢
列如
1 1 1 1 1 0 0 0
1 1 1 1 0 0 0 1
1 1 1 1 1 0 0 0
我想统计一列中111出现几次，101出现几次",统计
请问怎么使用spss中的EM算法进行缺失数据的插补，怎么得到缺失数据？,统计
因子分析碎石图中有一个因子的特征值明显偏大，请问我的数据应该怎样调整一下？,统计
amos做验证性因素分析的时候出现错误，其他潜变量都没问题，就只有这一个不行，不知道该怎么处理，麻烦各位大神解答,统计
请问在衡量技术进步时可以用专利数来衡量吗?,统计
用人口普查和1%抽查数据计算人口迁移率发现两者迁入数据相差极大，能否有前辈告知如何统一口径来比较，谢,统计
关于人口普查和1%人口抽样调查中各省人口迁入数据相差非常大，请问做过这人口迁移这方面研究的前辈能否告,统计
对面板数据进行回归建模，由于变量均为相对量，数值较小，时间为1999-2014，进行单位根检验不通过，一阶差分还不通过，这是什么原因？该怎么解决？,统计
关于CHNS数据使用的问题，求救大神，——本人目前正在写学士论文，内容为农业性别结构的变化（主要是指农业女性化）对农民收入结构变化的关联性分析，选择CHNS数据库为数据来源，但不知道该选择数据库中的哪些变量来表示农民收入结构，求大神解惑————第一次提问，问题可能显得唐突，请大家见谅。,统计
怎样根据广电四个月的用户观看记录信息数据分析用户的收视偏好？,统计
请问把1990到2015按五年一组分组数据，中国人口普查和1%人口抽样调查中人口迁入数应该怎么换算来,统计
各位大神，有谁会可计算一般均衡模型（CGE）,统计
"两次回归结果如下，第二组回归是在第一组回归的基础上加入了一些其他的变量，如何比较两组回归中“小心心”的系数是否有显著差异？

iscocurp -0.00721 -0.00932

 (-1.21) (-1.53)???

 
 

ln_rev_AM 0.0601*** 0.0523***

 -3.85 -3.22

 
 

D_AM -0.00204 -0.00569

 (-0.17) (-0.47)???

 
 

小心心 -0.0759** -0.0997**?

 (-2.00) (-2.53)???
isduality 
 0.0156**?

 
 -2.37

 
 

D_dual 
 0.00874

 
 -0.67

 
 

ln_rev_dual 
 0.0272

 
 -1.58

 
 

D_ln_rev_d~l  0.108**?


",统计
请问如何用SPSS进行轮廓分析，谢谢！！！,统计
想问一下，如果设计指标体系，共分为五大类共40多个指标，可不可以对每类指标内部用主成分分析降维，在确,统计
经典正态线性回归模型下的第6个性质是怎么的证明。,统计
"就是在第一阶段的dea中，要素投入冗余值是根据什么来判断的，存不存在综合效率值不为1，但各要素投入冗余值都为0的状态？
",统计
请教：用stata做面板门限模型分析的时候，得出的相关系数特别的大，如果对数据进行处理的话，相关系数会变小。请问这种情况是什么原因造成的？如果对数据进行修正选取什么方法比较合适呢？,统计
"两个偶遇抽样样本做相关分析，还需要做显著性检验吗？
",统计
"空间计量模型对所需要的数据有什么要求？
比如分析某产业发展对周边城市经济发展的空间溢出效应，GDP数据只能查到2011年至2017年的，数据是否达到要求呢？",统计
"sas,合并之后数据消失了是怎么回事？",统计
请教一下如何把正态分布转化为标准正态分布，请各位不吝赐教！,统计
求助大神，我想在stata固定效应模型中加入控制年度和行业，需要怎么做，提前需要对年度和行业进行什么处理嘛？？？？,统计
请问建立实证模型，如何选择控制变量？什么是好的控制变量什么是坏的控制变量？,统计
为什么statatransfer默认的只可以转化58个变量？怎么处理？,统计
"因子分析法中符合特征值大于1的因子的方差贡献率太低怎么办？要降低标准吗？
",统计
想使用倾向得分匹配法（PSM）分析数据，但是数据是面板数据，应该怎么处理？,统计
在SDM（空间杜宾）估计里，如果W随时间变动，要怎么实现？,统计
"有一个分类问题需要实现，也就是3000：80的不平衡数据，想从多数类样本中随机抽取n个与少数样本相同数量的样本，然后与同一个少数类样本组成n个新的样本集，在此基础上，对这n个新样本集随机抽取m个特征并通过SVM算法训练n个基分类器，最后统计投票结果。但是我无法找到合适的包，通过调整各个参数实现这一过程，想请教各位有没有什么思路？感激不尽！
",统计
有DEA大神吗，求问算出来的效率不同国家之间差异很小而且都很高，均值几乎都在0.8多，请问这是啥原因呢？,统计
一带一路国家资本存量，请问有人计算过一带一路沿线国家的资本存量吗？或者有人做过国际的资本存量估算吗，初始资本存量选取为多少？折旧率选多少？,统计
求问短面板模型究竟是否必须控制时间固定效应呢，看到了很多说法，请各位老师详细解答,统计
"项目反应理论三参数模型计算出来的p值怎样才能转换成（0,1）呢？",统计
求助大神，我在stata里计算某变量可能由于数值太大，结果出现带e的，如5.4e+08，我需要给他变成正常数值嘛，怎么操作啊？？？感谢大神！！！,统计
"请教专家老师：许多书说做ROC曲线（工作者受试曲线）需要是多个截点的诊断试验，从而将点连成ROC曲线，同时也可计算AUC。

我的问题是，某种检查诊断方法，只能做出一个诊断截点，难道这时做出的ROC曲线就没有意义吗？其下方的AUC有意义吗？如果有两个这样的曲线（都是只有诊断截点），比较其AUC大小有意义吗？

万望答复，不甚感激！",统计
请问一下润灵环球数据库的M、C、T、I，分别代表什么？,统计
Amos进行验证性因子分析，这个输出结果是不是不敢满意啊，感觉C.R值都不太合格，需要改动哪些地方呢。。。,统计
R中的tsDyn包，用什么函数可以做出门限向量自回归，中的高、低区制下的脉冲图和表？,统计
多元线性回归中，变量不能通过5%水平下的T检验，除了运用多重共线性，还有其他方法解决吗？解释变量之间的相关系数很低，逐步回归并不能使原来那些不通过T检验的变量通过T检验。而且其中关键性解释变量也不通过。只能剔除该变量吗？有没有其他的解决方法。,统计
"经过筛选上市公司数据，我做出的面板数据显示“timevariable:year,2006to2016,butwithgaps”，这会有影响吗",统计
平衡面板和非平衡面板是什么意思？？？,统计
"求助stata大神！
求教大神们,我整理的一个面板数据，是按照企业编号（id）和年份（year）合成的，同时每个企业都有城市编码（city_code)。能否按照城市编码（city_code)和年份（year）给每个企业（id）输入对应的当年所在城市的gpa（gpa),具体的程序语言是什么样子的呢？感谢赐教！",统计
请教大神，geoda做空间权重矩阵时出现duplicatevalue如何解决？？？,统计
请问我的一个解释变量是离散变量，范围为0-3，另一个变量为连续变量，二者的交互项与离散变量之间VIF值特别大，要怎么处理呢??,统计
"SPSS做调节效应，做了三组，中性组，高和低。现在做调节的话是把三组放在一个SPSS表里做还是分开做？自变量就是组别也就是3个类别吗？
",统计
请问:spss可以分析面板数据吗？我有2012-2016年5年的数据，1个被解释变量，7个解释变量，,统计
怎样使用万德数据库查找双边贸易额年数据？,统计
利用arcgis合并地图，之后也进行了投影，导出成shp地图后，利用geoda软件创建空间邻接矩阵，发现合成地图的合成地区与周边地区明明是相邻的，但是不显示是邻接的。这是不是地图当初在合并的时候出现了问题啊！怎么解决啊，难道arcgis合并的地图只能看？不能用吗？求解答,统计
您好，您之前询问的mplus多重插补之后，做潜变量分析的那个问题，解决了么。谢谢,统计
用SPSS作因子分析，问卷有3个维度，提取3个因素以后请问看哪一行写因素负荷量啊？,统计
前测做因子分析，问卷有3个维度，提取3个之后项目摘要表里的因素负荷量怎么填？,统计
你好，请问比如行业从A到S，我想任选两个进行曼特尼检验，stata中如何用循环语句实现呢？,统计
问一个计量里面的小问题，就是自变量人均变量换成总量变量和人口两个变量，来回归，两种回归结果会有什么区别？比如第一个回归模型让人均GDP做自变量，第二个让GDP和人口做自变量，有何区别？第二种让人口作为控制变量了。,统计
求国外主要检索工具收录我国科技论文按地区分布(2017年)，目前国家统计局发布了按学科分布，但是我需要按地区分布的，要怎么找呀。。。求救,统计
"想问Cox时间相依模型可以用于离散时间的数据吗？我的时间窗口是14~18，但是样本只在某个时间段有数据，比如14~16,17~18。这种不连续的时间可以用Cox时间相依模型吗？",统计
想要上市公司业绩承诺的数据，但是不知道怎样手工收集，有需要分工合作的吗，大家一起完成,统计
各位大神！在做回归时，能否自变量为企业级变量，因变量为行业级变量呢？谢谢谢谢,统计
请问一下负二项回归结果中Z值怎么解读？Z值与P值的关系是？,统计
哪位大神有CMA2.0的教程，最近在写元分析，感觉不太会用这个软件。,统计
想请教大家关于logistic回归的一个问题。变量太多，样本太少，结果跑不出来。请问除了删变量指标还有其他方法吗？,统计
哪位大神知道stata做面板var模型时，模型滞后期数确定的具体操作步骤或命令？也就是计算AIC，B,统计
"想问下门槛模型可以包含二次项么，比如Y=A1X+A2X^2+A3Y(B<C)+A4Y(B>C)+A5Z,是不是可以。
",统计
如何同时设置地区、性别、是否健康的虚拟变量？？？？急求大神解答~~~~,统计
建立空间计量回归模型前，要做因子的共线性检验吗？另外逐步回归真的可以解决共线性问题么，我之后做了验证，kapp值还是很大呢？小白一枚，请大神们轻喷~,统计
想请问一下有没有伙伴看过关于生存分析中cloglog模型的详细介绍以及stata命令，麻烦能不能告知一下哪本参考书或者论文上有啊？目前找到的都是直接用模型，有点不是很懂，所以谢谢各位的帮忙了，谢谢！,统计
之前没有接触过统计分析软件，在这想问一下，这张表是用spss或其他统计工具直接得出的，还是需要后期整,统计
各位大神，请问Fama-French三因子模型中规模因子和价值因子怎么求？百度的理论看了，但数据不会操作。,统计
家族企业可能会有社会团体控股嘛？？,统计
大神们，我使用GAMS跑完结果之后为什么会出现目标函数的参数不满足我设置的约束条件？比如说，我设置其中几个参数加起来等于零，但是得到结果后我检验了一下却不等于零，只是接近于零。请遇到过该问题的同学帮我解答一下，谢谢！,统计
一国的税收收入是高了还是低了，应该以什么作为标准？根据我国2010至2016的税收收入，简要阐明你对,统计
用R软件做轮廓似然估计，怎么画出置信区间那两条线呢？如图的两条竖线,统计
用R软件做轮廓似然估计，怎么画出置信区间那两条线？,统计
请问如果没有其他数据做对比，如何界定某一标准差的大小？,统计
varma模型和var模型的区别,统计
请问数据包络分析计算出的相对效率指的是技术效率还是规模效率还是两者之和？谢谢！,统计
我做的主要是人口、资源与环境协调发展研究，当中主成分分析提取完主成分过后，要求计算综合发展水平值，哪位大神知道怎么计算啊？,统计
"用excel做了一个双样本平均差检验，选中两组数，K列（new），L列（pass_booker）,填写了均值差与每一组数据的方差，（如图一），出现的结果如下图（如图二），理论上P值小于0.05，拒绝原假设，但是，我的原假设是什么呢？这个过程中没有涉及设置假设的步骤啊？希望大神告知excel默认的双尾检验的原假设是？单尾检验的原假设是，另外，结果中有一个z值，图二红框处，这个值是怎么计算得到的。谢谢了。描述统计见图三


",统计
sas时间日期的问题，导入进sas日期和时间都是字符串类型，分别是2个变量，date1和time1，,统计
请问卡方检验结果的规范呈现形式是什么样的？我直接放的spss做出的表格，老师说不规范，有的没有必要放。,统计
社会网络中点出度和点入度怎么计算啊？难道从网络图中单个数吗？,统计
有没有哪位大神用STATA做过选择实验的回归，望指教,统计
目前正在做毕业论文，需要用到CLHLS的死亡者家属追访问卷中的死因变量，该数据库的介绍中提到有调查死者死因，但是我在数据库及问卷中都没找到这个变量，有大佬用到过这个变量能否指点一二，感激不尽！！！,统计
求助大神，论文中“为保证研究结论的稳健性，所有检验的标准误差均经过异方差和企业层面的聚类调整”是什么意思啊？,统计
stata里标准化系数是什么意思？,统计
求大神，在stata中年末同行业所有公司托宾Q的中位数如何计算？本人为初学者，大神们说的详细些啊,统计
stata里控制变量需要设置年度虚拟变量和行业虚拟变量，请问大神们，如何设置？,统计
求大神，本人刚开始学习计量，上市公司相关的论文中在建立模型时，最后都要设置行业虚拟变量和年度虚拟变量，如何设置呢？,统计
求大神回答这个自相关和偏相关的图怎么看阶数和模型怎么确定啊,统计
判定数据是否呈现正态分布有哪些方法和步骤？如果在实验研究中，实验组和控制组一个组前测成绩呈正态分布，另一个组不成正态怎么办？,统计
怎么通过1985年＝1的物价指数，算出基期为1985年的1985到2016的各年实际GDP?,统计
关于用Eviews估计c~d生产函数的问题，两边取对数后。再Eviews回归后，得到的常数项是负的，请问怎么解决呀？对于资本存量和gdp单位是亿，劳动力是万人，是不是单位出了问题？,统计
两个时间集合A和B，进行匹配，如何求解最大值（B集合成功匹配到A集合的时间长）/A集合时间长,统计
R的主成分分析，在特征向量结果中，绝对值小于0.1(如：0.0421）没有显示，该如何让其显示出来？,统计
大神，想问下事件研究法具体怎么编程呢，可以教教我吗,统计
spss中做过因子分析之后怎么做聚类分析？因子分析之后我做聚类分析怎么不行？因子分析之后在spss上做聚类分析的具体步骤，求大神帮助,统计
用stata求定类和定类，定类定序，定序定序之间的相关关系要怎么做？求各位大神指点~小女子感激不尽！,统计
"怎么用卡方检验判断几个数值大小
我做出来不同年份温度趋势值要对比其大小，说是不能直接看大小，要用卡方检验来看，是什么意思，怎么实现呢",统计
"以上分别是条件期望和相应参数的模型

数据是某股票的最高最低价格以及成交量

请问如何用R来回归分析此模型

谢谢大家！！感激不尽！！",统计
研究中部地区税收竞争与经济增长关系，建模型怎么建？,统计
研究利率期限结构应该用什么样的数据比较合适，想要研究利率期限结构与宏观经济消息的关系,统计
大佬们，请问如何学习DEA数据包络分析，我觉得这个模型的公式好难理解啊，有没有什么书可以看，求介绍,统计
"R语言ggplot2图形问题
 geom_col 与geom_bar有什么区别？",统计
对省市根据某变量进行分组处理，用R语言操作的话，有哪些包或者函数可以用？,统计
"求问大神，怎么将stata中数据按各国加总得出平均值？
最近用WVS数据库时，因为都是个人调查，而我要做的是国家层面的研究，所以需要分别将各国的数据合成得出一个平均值，求问如何操作？感谢！！",统计
如何用spss19软件求出，每组数据的残差，因为求出来的残差要在下一个模型中做变量使用？？,统计
有没有哪位大神知道怎样获得BankFocus（原BankScope数据库）数据库2011年以前的数据？,统计
求问：耦合协调模型具体是怎么计算的,统计
回归模型中没加控制变量钱，自变量显著，加了控制变量后不显著了怎么解决,统计
如何用R语言求取（0，1）分布中1出现的概率,统计
做VAR，gdp二阶差分才平稳，其他的一阶差分平稳，这样能做VAR然后脉冲和方差分解吗？,统计
用R语言做面板回归，怎么控制行业效应和年度效应,统计
有许多分类变量从不超车、偶尔超车、经常超车，采用无需多分类logistic回归模型分析，从不超车为对照组，偶尔超车和经常超车的影响因素不同怎么解释，从哪个角度分析。,统计
时间序列最新的研究方向有哪些？,统计
stata要用到滞后一期，比如职工薪酬水平的滞后一期是什么意思？,统计
请问收集价格的数据除了价格指数可以用什么指标?,统计
评分卡开发过程中，对连续性变量分组的原因是什么？一般分组有哪些依据,统计
"请问多重回归方程怎么分离其他变量的影响？
想要得到一个艺术作品的价格与创作时间的指数，分离其他因素（尺寸、材质）的影响，用这个指数来描述一系列相同大小、材料、销售日期的画作的假设拍卖价值。请问要怎么做？如有回答感激不尽",统计
有一篇实证论文，回归系数beta=0.0642，文中说在5%水平下正向显著，有问题把？本人计量菜鸟，请大神讲解......,统计
求问，PSM+DID结果显示，政策实施前后的系数均显著，那为什么DID结果不显著呢？,统计
不同截面样本数不同应该用什么方法进行计量分析？,统计
"面板固定效应模型的自由度怎么计算，是直接用样本量减去解释变量个数得到吗？
",统计
求教：题目是工业生产者出厂价格波动对经济经济增长的影响，请假高手，应该选取什么指标，用什么方法进行分析，谢谢！,统计
京东的用户画像分析从哪些维度出发？细分到哪个颗粒度？,统计
在Matlab中画双纵坐标曲线图，左边的纵坐标轴对应三条线，右边的纵坐标轴对应一条线，该怎么编程，急求。,统计
比较四组之间两个样本量有无差异，用什么统计方法，四组之间的样本量还相差很大?,统计
数据差别很大，有的是产值几十万，有的是利润率小于1，怎么主成分分析啊？,统计
"我excel里面有20多万数据（数据量），然后想请教的是，有两行数据，他们的ID（其中一个字段）是一样的，其他字段有的是一样的，有的不一样（比如其中一个字段是年龄），然后我想把几个相同ID的数据合并成一个，字段不一定的就根据一定条件把他分出来。请问有大神会嘛，截不了图很气。。下面简单举个例子

???id?????age????time????day???

20181211??21???10：00???3

20181211??57???10：00???3

20181211??33???10：00???3",统计
国民经济核算中，为什么经常交易不引起资产负债变化？消费里边涉及到通货的减少，不是会造成资产的减少吗？,统计
请问如何用STATA在工业企业数据库中，生成并赋值城市层面变量？例如加入城市GDP增速。,统计
有没有人会品牌概念地图（BCM）这个方法？,统计
"我是大四的学生，正在作毕业论文。用的是微观数据，截面数据。被解释变量是初婚年龄，然后在简单的回归模型中解释变量几乎都是分类变量，我都作了虚拟处理。然后在一组解释变量为城市规模的虚拟变量中，我按照国家划分标准，分为小城市，中等城市，大城市，特大城市，超大城市。以小城市为参照，回归结果只有中等城市和特大城市是显著。该怎么解释啊。


",统计
要用2002年到2016年的数据，进行收入结构对消费结构的影响分析，是否要消除价格因素的影响？是否进,统计
"建立ma(2)模型之后可以建立ma(2)-egarch(1,1)模型吗？我看了几篇论文都是做ar-egarch的，能不能做ma-egarch呢？",统计
大神您好，想向您求教spss怎么检测问卷数据的同源偏差问题？网上怎么都查不到步骤，很着急，麻烦您了！,统计
"糖价服从正态分布情况下，根据其平均波动率20%计算，白糖价格一年内下跌10%、20%、30%的概率分别为25.76%、10.87%、2.89%,请问这个概率是怎么计算出来的？",统计
请问，我坐做产业结构对经济发展的影响，自己列出6种可能的产业结构，再自己设置权重绘制时间序列折线图，,统计
请问5年的面板数据因子分析，后面还会用到因子分析的综合得分作为面板数据回归中的Y，请问此时因子分析是一年一年的做，还是当作一个大的截面数据来处理？,统计
您好，我想问GWR4.0F检验结果怎么看显著性？,统计
请教工作企业数据库，企业匹配具体怎么用stata操作？,统计
将人均GDP与金融业增长值做格兰杰检验，二者数据都是二阶平稳，不做协整检验可以直接用原数据做格兰杰检验嘛，为什么。,统计
请问相关系数多大，算有强相关关系？,统计
请问大神，事件研究法eventstudy的Excel表格应该要哪些数据，怎么排列,统计
大家好，我在做动态面板分析的时候，因为一阶差分产生了大量缺漏值，我一共只用四年数据，这样的缺漏值要怎,统计
如何用Rstudio软件做复合分位数回归分析，谢谢指导~,统计
各位大神你们好，本人是做高速公路投资这块的，因为涉及到对未来车流量进行预测分析，包括投资时间的安排分析、财务压力分析、未来现金流量分析测试等内容，我想咨询下应该学习什么统计建模软件，才能呈现出这些数据表。,统计
y这一列数据不能在0阶小于0.05，有没有办法可以让它在0阶小于0.05呢？求教一下！,统计
关于double-Handle模型的内生性问题检测:请问如何检测double—Handle模型的内生性问题，用什么指标来检测，我用的是logit与泊松回归方程的组合。,统计
各位大神，图片上说以新因子的方差贡献率为权数，按标准分转换成1-100之间的数值，请问是怎样转换的呢,统计
?我想要用CGSS做影响个人工资水平的因素的研究，由于可能存在自选择的问题，所以选择heckmansamplemodel。但是CGSS是全国代表性数据，有一个样本权重的问题，我在stata里看到似乎两步法是不能加入权重的，而极大似然估计可以，所以我想问一下这两种方法适用有啥区别呢，比如假设的严格程度之类的，谢谢大家啦~,统计
控制变量不稳健，这个问题致命吗？,统计
事件研究法中使用均值调整法，如何进行模型的异方差和自相关检验，异常收益率的t检验怎么做？,统计
用HLM做logistic双层回归，计算结果中为什么不能自动给出-2loglikehood，即偏差度（Deviance）的值？,统计
spss因子分析分别作5年，提取的公共因子和预想不一致只有第二年第三年和预想的不一致怎么处理,统计
请问STATA里用esttab或outreg2导出的表格在word里怎么才能修改表格的样式呢？我试了用word自带的表格修改，但是格式都变得很混乱。,统计
有没有大神！指点一下用stata筛选chfs的数据除，“保留户主信息，剔除数据缺失，表达不清的家庭”,统计
oprobit模型中，如何理解边际系数？为什么margins的符号与系数不一致呢？,统计
研究税收与gdp相互关系用什么模型,统计
急求安徽省与中部其余五省的区域物流信息，想要对其协同成长问题写篇本科论文,统计
"大神们请问一下这个该怎么写：
TOTAL是总数据集，ABCDE是根据满足不同条件从TATAL中提取的五个病人信息的子数据集（有重叠），现要求：患一种、两种直到五种病的的病人个数该怎么写？",统计
vecm统计结果中，如何筛选系数，是依据给出的t值进行筛选吗？还是有其他筛选的方法？,统计
vecm统计结果中，为0的部分如何解释？谢谢,统计
超越对数生产函数平方项系数为负，这可能吗？,统计
关于社会特许性是否对调研数据样本有影响的检验的问题,统计
谁能解释解释这图到底有啥规律，或者有什么隐含的信息么？求大神指教，越详细越好！！！,统计
PLS回归中根据多少以上方差解释比例来提取最大潜在因子数，可不可以随自己多提一点，只要累积大于95%？,统计
如何分析多个自变量和一个因变量的相关关系，求最简单的软件和方法~本科论文需要，谢谢大家,统计
用DID方法做地铁开通对房价的影响，做出来的双重差分估计量前面的系数是负的，怎么办？求教！,统计
"请问在哪能查到上市银行科研投入数据。
",统计
化妆品专业线细分市场的现状数据分析,统计
怎样从CSMAR里查上市公司发债？,统计
请问各位大神，SPSS因子分析的数据可以用问卷数据吗？就是只有满意度或者符合度没有具体数值的数据？,统计
怎么用STATA算家庭跨期收入的均值和方差啊？我有点看不懂这个大T表示什么？算出来的是每个家庭每个年份一个均值，还是每个家庭所有年份的均值都一样啊？,统计
怎么用stata实现一步超越对数生产函数，模型中需要设定生产函数模型，在模型中复合残差项=v-u，还需要对技术无效率项u进行设定模型，是怎么设定，怎么一块表现这两个模型，求大神指教！,统计
请问用什么衡量政府效率、知识产权保护、法治水平指标？,统计
融资约束KZ指数应当如何构建？,统计
"假如我把回归检验放到格兰杰后，三变量里只有两个有格兰杰因果，那么回归方程里可不可以只有一个解释变量，没有格兰杰因果那个就不放到方程里，这样行吗
",统计
"SDM和SDEM模型的选择问题：
回归系数两个模型相差极小（LMLRWald检验均通过），三大信息准则的值也基本相同，该如何选择，是什么原因造成了这种情况？",统计
有什么好的平台可以提前学高级计量经济学,统计
"用geoda做影响因素的相关性分析，结果不管是最小二乘法还是空间滞后、误差模型，结果出来的回归系数都特别大，都大于1，有两个影响因素的回归系数达到19和40，但是又通过了显著性检验，这种模型合理吗，是什么原因造成的呢？求大神解答！！
",统计
两个时间序列，在一个为原序列平稳，另一个为一阶单整序列的情况下，可以进行协整检验吗？可以建立VEC模型吗？如果不可以，我该怎么做？求助！急！非常谢谢！,统计
如果A对于的C的影响呈二次函数的，B对于C的影响也是二次函数，那么A/B对于C的影响，可以做直接做线性回归吗？还是也要构造二次项。,统计
modeler已经建立好模型，如何用该模型对样本外的测试集进行预测,统计
"stata对字符变量的处理如何实现excel中的替换功能：
如：1.北京市替换为北京
2.天津地区替换为天津
3.西青区替换为天津
这种替换，直接用EXCEL可以方便完成，但是数据观察值几十万个，复制到Excel超出最大限制，求助大神有直接使用stata处理上述问题的命令吗？万分感谢！！！
",统计
做学位论文时，数据中有等级，怎样才能围成stata能接受的？第一次做实证，谢谢！,统计
各位大侠，以生存时间time、协变量age为例，在含有时依协变量的Cox回归中，从新构建的时依协变量Ln(t)*age的公式上看，就是生存时间time的对数与age的交互作用。可是通过新构建的时依协变量做检验，与直接检验ln(t)和age的交互作用，结果怎么不一致，有哪位大侠能帮忙解答一下吗？,统计
求问各位老师，怎么计算临床I期试验Simon最佳二阶段样本量？,统计
最近处理一批数据我实在是孤立无援，不知道怎么调整聚类图中的样本出现顺序让病例跟对照组能分开？,统计
STATA中面板数据除了固定效应分析和随机效应分析，还能做什么分析？？？,统计
GDP季度数据不做季节调整可以吗？在检验菲利普斯曲线时，产出缺口如果使用原始GDP数据就显著，如果进行季节调整，就不显著。当然，通货膨胀率也没有做季节调整。也就是说，如果都不进行季节调整，直接算产出缺口，然后和通胀率回归，可以吗？,统计
尝试做分位数分解，采用的mmsel的stata安装命令包，也按照之前的命令设置了id，genpid=_n，orderpid，现在显示结果如下，和想得到的结果根本对不上（后一张是岳希明老师的论文，也是采用的分位数分解，可以得出各分位点的分解结果），所以求助论坛各位大牛，希望能得到指点！先在此谢谢了！,统计
Frontier4.1计算完全国的数据后，如果想分地区计算是把各地区的数据分开单独算吗？还是在原来的非效率模型引入地区虚拟变量？,统计
频率分布直方图在组距相等的情况下，能否使用长方形的高来表示频率呢？,统计
请问在charls数据中如何筛选出城镇户籍的样本呢，我用2015年的数据，但户籍问题涉及到2013甚至2011的问卷，就不知道应该咋处理了，还请各位大神解答一二呐，求大神捞起~~~~~~~~,统计
工具变量怎么选取，我准备选取滞后一期滞后两期去做工具变量，但有一个选一个工具变量就可以了，为什么要给它选择更多的工具变量？,统计
各位大佬您好我利用障碍度模型计算水资源承载力的障碍引子分析由于本人迟钝无法熟练运用计算公式请问有没有可以替换障碍度模型的其他可以用来计算障碍度的模型谢谢了,统计
请教：如何利用stata计算省际层面的资源错配指数？,统计
小白求教：用spss检验由4个量表组成的问卷效度时，是分别检验每个分量表还是可以直接检验整个量表的结,统计
"您好，我现在做的是2*2的实验，探究评论的质量与数量对消费者购买意愿的影响，实验分为四组：质量高x数量高、质量高x数量低、质量低x数量高、质量低x数量低。质量和数量都分别在我的问卷中用了两个问项来做李科特评分。

现有两个问题：

1、我该如何证明我的分组设计素材是否成功，即如何用评分证明质量高的评论显著高于质量低的评论呢（数量同理）。

2、该如何验证：评论质量越高消费者购买意愿越大、评论数量越多消费者购买意愿越大这两个假设呢？这个是要做多元方差分析吗？

数据分析的时候是不是应该把我的四组实验数据整合在一个excel里面呢？",统计
想咨询一下大神们，这里这个正弦曲线拟合移动平均线，两周期位点怎么算出来的呢,统计
我电脑里的sas软件的帮助文件用不了，只要一打开帮助就会出现“sas.exe已停止工作，出现了一个问题，导致程序停止正常工作，如果有可用的解决方案，windows将关闭程序并通知你”这种情况，然后出现了调试以及关闭程序两个选择，请问各位大神，这是咋回事儿啊，我试过重启电脑，也没用。,统计
